CreationCPU:CPU:Symbol:Label:DURATION:OFFCORE_RESPONSE_0:ANY_REQUEST:LLC_MISS_REMOTE:OFFCORE_RESPONSE_0:DMND_DATA_RD:LLC_MISS_REMOTE:PAPI_BR_MSP:PAPI_L1_TCM:PAPI_L2_TCM:PAPI_L3_TCM:PAPI_REF_CYC:PAPI_TOT_CYC:PAPI_TOT_INS:involuntary_context_switch:kernelmode_us:major_page_fault:max_resident_size_increase:minor_page_fault:usermode_us:voluntary_context_switch
0:7:4198288:[1,4198288,0,4198288,176]:12618951652:8029518:468530:52554733:374624315:12178224:486608:12595780165:12595688715:28008533145:6:3942:0:264:11:4346654:0
0:15:4198288:[1,4198288,0,4198288,240]:12618804640:8933173:586798:52694330:375018378:12097564:605208:12595297335:12595224796:28008532644:7:3976:0:264:14:4346598:0
0:5:4198288:[1,4198288,0,4198288,160]:12618951072:8001505:493437:52557814:374822631:12190918:511541:12595909617:12595835288:28008533143:8:3142:0:264:11:4346622:0
0:1:4198288:[1,4198288,0,4198288,128]:12618977200:8220805:517659:52672649:374676869:12074525:536310:12595911826:12595808306:28008533148:6:4395:0:264:11:4346246:0
0:13:4198288:[1,4198288,0,4198288,224]:12618803052:8237947:500100:52527208:374899185:12136811:517897:12595612011:12595504747:28008533140:7:0:0:264:12:4350506:0
0:11:4198288:[1,4198288,0,4198288,208]:12618796192:8340149:505758:52502612:374845457:12192102:524836:12595795967:12595717736:28008533128:7:3928:0:264:9:4346621:0
0:9:4198288:[1,4198288,0,4198288,192]:12618801916:8161629:476956:52564462:374620700:12200658:495249:12596098195:12596022958:28008532157:5:3945:0:264:11:4346652:0
0:3:4198288:[1,4198288,0,4198288,144]:12618976760:7889272:491007:52523634:374909791:12147559:509611:12593567157:12593496710:28008532178:30:3152:0:264:10:4346127:0
0:4:4198288:[1,4198288,0,4198288,32]:12409226704:2740829:39843:52414779:375946950:11964446:162535:12389201239:12389121680:28008533871:25:0:0:264:381:4278432:0
0:14:4198288:[1,4198288,0,4198288,112]:12409227988:2994887:57248:52546133:376055896:11883441:227961:12392838634:12392761617:28008533475:11:406:0:264:217:4278153:1
0:6:4198288:[1,4198288,0,4198288,48]:12409269688:2770265:38363:52524673:375687953:12021203:143795:12384924532:12384840842:28008532606:145:8407:0:264:364:4269570:0
0:12:4198288:[1,4198288,0,4198288,96]:12409227308:2951132:56887:52427942:376280222:11974334:216468:12393558843:12393483075:28008533681:6:411:0:264:400:4278229:0
0:8:4198288:[1,4198288,0,4198288,64]:12409309480:2768507:39962:52550814:375714353:11982228:173613:12392598326:12392527052:28008533697:6:409:0:264:392:4278264:0
0:2:4198288:[1,4198288,0,4198288,16]:12409309324:2827484:50647:52422063:376185923:11915167:188034:12392829051:12392757401:28008533705:11:0:0:264:410:4278587:0
0:10:4198288:[1,4198288,0,4198288,80]:12409225148:2826361:46768:52443558:375913603:12005544:193160:12392291108:12392213998:28008533638:21:411:0:264:346:4278034:1
0:0:4198288:[1,4198288,0,4198288,0]:12409167144:6354518:550122:50770079:373271040:12147895:2924316:12392850603:12392770690:28008534768:9:0:0:264:421:4275103:1
